,numMages,nightfall,darkmoon,fightLength,numWB,semiWB,numPIs,rotation,percentDpsIncrease
88,4,0,1,120,1,3,4,1,1.0
89,4,0,1,120,1,3,4,2,1.0
90,4,0,1,120,1,3,4,3,1.0
91,4,0,1,120,1,3,4,6,1.0238095238095235
92,4,0,1,120,1,3,4,7,1.0
93,4,0,1,120,1,3,4,9,1.0
94,4,0,1,120,1,3,4,4,1.0
95,4,0,1,120,1,3,4,10,1.0
96,4,0,1,120,1,3,4,0,1.0
97,4,0,1,120,1,3,4,5,1.0
98,4,0,1,120,1,3,4,8,0.9761904761904762
99,4,1,0,100,1,1,1,5,1.0
100,4,1,0,100,1,1,1,9,1.0
101,4,1,0,100,1,1,1,4,1.0
102,4,1,0,100,1,1,1,7,1.0
103,4,1,0,100,1,1,1,8,1.0
104,4,1,0,100,1,1,1,6,1.0
105,4,1,0,100,1,1,1,1,1.0
106,4,1,0,100,1,1,1,0,0.9767441860465116
107,4,1,0,100,1,1,1,2,1.0
108,4,1,0,100,1,1,1,3,1.0
109,4,1,0,100,1,1,1,10,0.9767441860465116
110,4,1,1,40,1,0,0,7,0.975
111,4,1,1,40,1,0,0,4,0.9833333333333332
112,4,1,1,40,1,0,0,0,0.9166666666666666
113,4,1,1,40,1,0,0,10,0.95
114,4,1,1,40,1,0,0,8,1.0
115,4,1,1,40,1,0,0,5,0.9333333333333332
116,4,1,1,40,1,0,0,3,1.0
117,4,1,1,40,1,0,0,9,1.0
118,4,1,1,40,1,0,0,1,0.9916666666666668
119,4,1,1,40,1,0,0,6,1.0
120,4,1,1,40,1,0,0,2,0.9666666666666668
121,4,1,1,40,2,2,4,1,1.0067567567567568
122,4,1,1,40,2,2,4,5,1.0067567567567568
123,4,1,1,40,2,2,4,7,1.0135135135135136
124,4,1,1,40,2,2,4,0,1.0067567567567568
125,4,1,1,40,2,2,4,4,1.0
126,4,1,1,40,2,2,4,8,0.9662162162162162
127,4,1,1,40,2,2,4,2,1.0067567567567568
128,4,1,1,40,2,2,4,3,1.0
129,4,1,1,40,2,2,4,10,0.9662162162162162
130,4,1,1,40,2,2,4,9,1.0067567567567568
131,4,1,1,40,2,2,4,6,1.0135135135135136
132,4,1,1,80,1,2,1,1,1.0
133,4,1,1,80,1,2,1,4,1.0
134,4,1,1,80,1,2,1,6,1.0
135,4,1,1,80,1,2,1,7,1.0
136,4,1,1,80,1,2,1,8,0.984375
137,4,1,1,80,1,2,1,2,0.984375
138,4,1,1,80,1,2,1,0,0.96875
139,4,1,1,80,1,2,1,9,1.0
140,4,1,1,80,1,2,1,5,1.0
141,4,1,1,80,1,2,1,3,0.984375
142,4,1,1,80,1,2,1,10,0.96875
143,4,1,1,80,1,1,4,1,1.0
144,4,1,1,80,1,1,4,9,1.0
145,4,1,1,80,1,1,4,7,1.0
146,4,1,1,80,1,1,4,5,1.0
147,4,1,1,80,1,1,4,10,0.9682539682539684
148,4,1,1,80,1,1,4,8,0.9523809523809524
149,4,1,1,80,1,1,4,2,1.0
150,4,1,1,80,1,1,4,3,1.0
151,4,1,1,80,1,1,4,0,1.0
152,4,1,1,80,1,1,4,4,1.0
153,4,1,1,80,1,1,4,6,1.0
1188,4,0,0,100,0,0,0,6,1.0
1189,4,0,0,100,0,0,0,8,1.0
1190,4,0,0,100,0,0,0,2,1.0
1191,4,0,0,100,0,0,0,0,0.9736842105263158
1192,4,0,0,100,0,0,0,1,1.0
1193,4,0,0,100,0,0,0,10,1.0
1194,4,0,0,100,0,0,0,7,1.0
1195,4,0,0,100,0,0,0,9,1.0
1196,4,0,0,100,0,0,0,3,1.0
1197,4,0,0,100,0,0,0,4,1.0
1198,4,0,0,100,0,0,0,5,1.0263157894736843
1199,4,0,0,100,1,1,5,8,0.9767441860465116
1200,4,0,0,100,1,1,5,6,1.0232558139534884
1201,4,0,0,100,1,1,5,10,1.0
1202,4,0,0,100,1,1,5,7,1.0232558139534884
1203,4,0,0,100,1,1,5,3,1.0
1204,4,0,0,100,1,1,5,9,1.0
1205,4,0,0,100,1,1,5,4,1.0
1206,4,0,0,100,1,1,5,2,1.0
1207,4,0,0,100,1,1,5,0,1.0
1208,4,0,0,100,1,1,5,5,1.0
1209,4,0,0,100,1,1,5,1,1.0
1210,4,0,1,60,2,0,2,4,1.0
1211,4,0,1,60,2,0,2,2,0.9888888888888888
1212,4,0,1,60,2,0,2,7,1.0111111111111108
1213,4,0,1,60,2,0,2,8,0.9777777777777776
1214,4,0,1,60,2,0,2,1,1.0
1215,4,0,1,60,2,0,2,3,1.0
1216,4,0,1,60,2,0,2,5,1.0
1217,4,0,1,60,2,0,2,9,1.0
1218,4,0,1,60,2,0,2,6,1.0111111111111108
1219,4,0,1,60,2,0,2,10,0.9777777777777776
1220,4,0,1,60,2,0,2,0,0.9777777777777776
1221,4,0,1,100,1,1,1,7,1.0
1222,4,0,1,100,1,1,1,3,0.979591836734694
1223,4,0,1,100,1,1,1,10,0.979591836734694
1224,4,0,1,100,1,1,1,0,0.9591836734693876
1225,4,0,1,100,1,1,1,8,0.979591836734694
1226,4,0,1,100,1,1,1,5,1.0
1227,4,0,1,100,1,1,1,4,0.979591836734694
1228,4,0,1,100,1,1,1,1,1.0
1229,4,0,1,100,1,1,1,2,0.979591836734694
1230,4,0,1,100,1,1,1,6,1.0
1231,4,0,1,100,1,1,1,9,1.0
1232,4,1,0,60,2,1,2,7,1.0121951219512195
1233,4,1,0,60,2,1,2,6,1.0
1234,4,1,0,60,2,1,2,8,0.975609756097561
1235,4,1,0,60,2,1,2,10,0.9634146341463414
1236,4,1,0,60,2,1,2,2,0.9878048780487804
1237,4,1,0,60,2,1,2,3,1.0
1238,4,1,0,60,2,1,2,4,1.0
1239,4,1,0,60,2,1,2,9,1.0
1240,4,1,0,60,2,1,2,5,0.9878048780487804
1241,4,1,0,60,2,1,2,0,0.975609756097561
1242,4,1,0,60,2,1,2,1,1.0
1243,4,1,0,80,2,1,1,2,0.9827586206896552
1244,4,1,0,80,2,1,1,3,0.9827586206896552
1245,4,1,0,80,2,1,1,5,1.0
1246,4,1,0,80,2,1,1,9,1.0
1247,4,1,0,80,2,1,1,4,1.0
1248,4,1,0,80,2,1,1,1,1.0
1249,4,1,0,80,2,1,1,8,0.9827586206896552
1250,4,1,0,80,2,1,1,6,1.0
1251,4,1,0,80,2,1,1,0,0.9655172413793104
1252,4,1,0,80,2,1,1,10,0.9655172413793104
1253,4,1,0,80,2,1,1,7,1.0
1254,4,1,1,60,2,1,5,0,1.0
1255,4,1,1,60,2,1,5,10,0.978021978021978
1256,4,1,1,60,2,1,5,7,1.010989010989011
1257,4,1,1,60,2,1,5,2,1.0
1258,4,1,1,60,2,1,5,6,1.010989010989011
1259,4,1,1,60,2,1,5,3,1.0
1260,4,1,1,60,2,1,5,9,1.0
1261,4,1,1,60,2,1,5,1,1.0
1262,4,1,1,60,2,1,5,5,1.0
1263,4,1,1,60,2,1,5,8,0.956043956043956
1264,4,1,1,60,2,1,5,4,1.0
1265,4,1,1,100,1,3,0,2,0.979591836734694
1266,4,1,1,100,1,3,0,5,1.020408163265306
1267,4,1,1,100,1,3,0,1,1.0
1268,4,1,1,100,1,3,0,7,1.0
